sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
126,5.00563,39.9942,25.2525,1.01035,0,56,0,56
127,9.99678,40.0003,25.243,0.972067,0,57,0,57
128,14.9793,40.0026,25.2465,0.989501,0,58,0,58
129,20.0247,39.997,25.2436,0.979612,0,59,0,59
130,24.9787,40.0121,25.2254,0.906956,0,60,0,60
131,29.9775,39.988,25.2364,0.951274,0,61,0,61
132,35.0067,39.9737,25.2428,0.977072,0,62,0,62
133,39.9925,40.02,25.2651,1.06374,0,63,0,63
134,4.98024,4.99774,25.5161,1.00792,0,0,0,67
135,10.0357,5.01744,25.4524,0.951625,0,1,0,68
136,15.0229,5.02013,25.4953,1.03434,0,2,0,69
137,20.0027,5.05193,25.5021,1.055,0,3,0,70
138,24.9981,5.08117,25.52,1.11012,0,4,0,71
139,29.9745,5.01947,25.5147,1.06168,0,5,0,72
140,35.0018,5.03014,25.5008,1.01627,0,6,0,73
141,39.998,4.94167,25.4784,0.972899,0,7,0,74
142,4.94433,10.0432,25.4847,0.982893,0,8,0,75
143,9.95774,10.0091,25.5388,1.05192,0,9,0,76
144,15.0756,9.98082,25.4965,1.04592,0,10,0,77
145,20.0347,9.98853,25.508,1.04657,0,11,0,78
146,24.9627,10.0274,25.5406,1.00601,0,12,0,79
147,29.9935,9.98348,25.4895,1.03682,0,13,0,80
148,35.0248,9.98643,25.489,0.967025,0,14,0,81
149,40.0025,9.99478,25.553,1.01563,0,15,0,82
150,5.02114,14.9744,25.5385,0.944883,0,16,0,83
151,9.93132,15.0076,25.5049,0.989656,0,17,0,84
152,15.017,14.9694,25.5079,0.946604,0,18,0,85
153,19.9925,15.0325,25.5018,0.987515,0,19,0,86
154,25.0094,14.949,25.4934,1.05772,0,20,0,87
155,30.0195,14.9329,25.4963,0.986099,0,21,0,88
156,35.0332,15.006,25.513,1.06885,0,22,0,89
157,39.924,14.9984,25.4995,1.05703,0,23,0,90
158,4.93361,20.0243,25.4999,0.970062,0,24,0,91
159,9.94279,20.0204,25.4984,1.04786,0,25,0,92
160,14.9185,20.0235,25.5312,0.944084,0,26,0,93
161,20.0003,19.9337,25.4858,0.997961,0,27,0,94
162,25.0635,19.9794,25.5118,0.952528,0,28,0,95
163,30.0077,20.0571,25.5253,1.07214,0,29,0,96
164,34.9784,20.0467,25.4984,1.01782,0,30,0,97
165,39.9177,19.9871,25.5205,1.01265,0,31,0,98
166,4.97766,45.0648,25.4976,1.03987,0,64,0,99
167,9.94315,45.0196,25.5104,0.984176,0,65,0,100
168,14.964,45.0295,25.5184,0.967626,0,66,0,101
169,5.02292,24.9771,25.5024,1.03787,0,32,0,102
170,10.0317,24.9671,25.5069,0.948169,0,33,0,103
171,15.0048,24.9863,25.5034,1.02067,0,34,0,104
172,19.9723,25.0473,25.498,0.920762,0,35,0,105
173,24.9763,24.9601,25.4733,0.965241,0,36,0,106
174,30.0389,25.0429,25.4812,0.973954,0,37,0,107
175,34.9859,24.9492,25.4929,0.952625,0,38,0,108
176,40.0054,25.0379,25.4703,0.979252,0,39,0,109
177,5.01365,29.9194,25.4976,0.985021,0,40,0,110
178,9.98463,30.035,25.5264,1.01118,0,41,0,111
179,15.0237,29.9368,25.5084,0.939456,0,42,0,112
180,19.9926,29.9512,25.5116,0.911905,0,43,0,113
181,24.9571,30.0367,25.5009,1.03679,0,44,0,114
182,29.9523,29.9842,25.4904,1.02079,0,45,0,115
183,34.9853,30.0184,25.4887,1.00743,0,46,0,116
184,39.9766,30.0448,25.5099,1.0099,0,47,0,117
185,4.95467,34.9948,25.5047,1.03252,0,48,0,118
186,9.96875,34.9946,25.4973,1.0346,0,49,0,119
187,14.9997,35.0377,25.5071,1.03742,0,50,0,120
188,19.9674,35.0596,25.5073,1.03623,0,51,0,121
189,25.0463,35.0296,25.494,0.996448,0,52,0,122
190,29.9886,35.0225,25.4998,1.01562,0,53,0,123
191,34.9477,34.9523,25.5118,1.05245,0,54,0,124
192,40.0269,34.9351,25.5048,1.04016,0,55,0,125
193,5.03365,39.9721,25.5025,0.98904,0,56,0,126
194,9.99945,39.9736,25.4911,0.998277,0,57,0,127
195,14.9496,40.0194,25.5231,1.11488,0,58,0,128
196,20.0719,39.994,25.4839,0.963992,0,59,0,129
197,24.9627,40.0015,25.4534,0.915267,0,60,0,130
198,29.9287,39.9755,25.4935,1.04776,0,61,0,131
199,35.0033,39.944,25.4852,0.916478,0,62,0,132
200,39.9626,40.0446,25.5282,1.04851,0,63,0,133
201,4.94646,5.00956,25.7741,1.04175,0,0,0,134
202,10.0369,5.02028,25.6954,0.972405,0,1,0,135
203,15.0388,5.05754,25.7586,1.06581,0,2,0,136
204,19.9947,5.10402,25.7606,0.910758,0,3,0,137
205,25.0056,5.13374,25.7924,0.946167,0,4,0,138
206,29.9609,5.03986,25.779,0.903835,0,5,0,139
207,35,5.04845,25.758,1.03141,0,6,0,140
208,40.0301,4.89136,25.7142,0.953361,0,7,0,141
209,4.89219,10.0613,25.725,0.986316,0,8,0,142
210,9.96578,10.0007,25.8015,0.974863,0,9,0,143
211,15.1254,9.94615,25.7509,0.999395,0,10,0,144
212,20.0567,9.9903,25.7695,1.04971,0,11,0,145
213,24.9555,10.0665,25.7895,1.00822,0,12,0,146
214,29.9978,9.95919,25.7475,1.00054,0,13,0,147
215,35.0512,9.98804,25.7502,1.05014,0,14,0,148
216,39.9889,9.9854,25.8064,0.947775,0,15,0,149
217,5.01543,14.9813,25.7746,0.934547,0,16,0,150
218,9.88919,15.0384,25.7468,0.946325,0,17,0,151
219,15.0362,14.9751,25.7644,1.02916,0,18,0,152
220,19.976,15.042,25.7589,1.03116,0,19,0,153
221,25.0151,14.9345,25.7592,1.06499,0,20,0,154
222,30.0181,14.8567,25.75,1.0594,0,21,0,155
223,35.0222,15.0297,25.7971,1.1409,0,22,0,156
224,39.8997,14.9931,25.7626,1.05743,0,23,0,157
225,4.8924,20.0264,25.743,0.986356,0,24,0,158
226,9.90392,20.0562,25.755,1.0178,0,25,0,159
227,14.8826,20.0147,25.7696,0.965019,0,26,0,160
228,20.0188,19.8931,25.7356,1.0147,0,27,0,161
229,25.082,19.9854,25.7784,1.06919,0,28,0,162
230,30.0238,20.1089,25.7878,0.896933,0,29,0,163
231,34.9765,20.0461,25.7529,0.991373,0,30,0,164
232,39.8554,20.0044,25.7652,0.922459,0,31,0,165
233,4.9709,45.133,25.7483,0.9386,0,64,0,166
234,9.92459,45.0371,25.766,1.02749,0,65,0,167
235,14.9535,45.0701,25.7749,1.03962,0,66,0,168
236,5.00786,24.9797,25.7615,1.00479,0,32,0,169
237,10.0415,24.9425,25.7424,0.94203,0,33,0,170
238,14.9738,24.9695,25.7699,1.07558,0,34,0,171
239,19.968,25.0628,25.7637,1.06495,0,35,0,172
240,24.9949,24.9136,25.7296,1.04477,0,36,0,173
241,30.0849,25.0645,25.7335,1.02951,0,37,0,174
242,34.9465,24.9233,25.7287,0.961954,0,38,0,175
243,40.0045,25.0478,25.7149,0.90091,0,39,0,176
244,5.0276,29.8918,25.7471,1.0059,0,40,0,177
245,9.9634,30.0192,25.7827,1.03065,0,41,0,178
246,15.0508,29.8966,25.7577,1.0158,0,42,0,179
247,19.9697,29.9184,25.7707,1.04878,0,43,0,180
248,24.9396,30.0562,25.7587,0.951262,0,44,0,181
249,29.9132,29.9522,25.7406,0.952494,0,45,0,182
250,34.9855,30.0399,25.7396,0.999557,0,46,0,183
251,39.985,30.0861,25.7588,0.955025,0,47,0,184
252,4.9434,34.9589,25.7601,0.991541,0,48,0,185
253,9.95422,34.9594,25.7531,1.03227,0,49,0,186
254,14.9913,35.0613,25.7653,1.00522,0,50,0,187
255,19.945,35.1124,25.7599,1.01113,0,51,0,188
256,25.0819,35.0646,25.7464,1.02927,0,52,0,189
257,29.9651,35.0291,25.7526,0.942051,0,53,0,190
258,34.9046,34.9408,25.7711,0.995532,0,54,0,191
259,40.0548,34.9106,25.7622,1.03682,0,55,0,192
260,5.07061,39.9378,25.7538,1.02506,0,56,0,193
261,9.99896,39.9611,25.7641,1.09296,0,57,0,194
262,14.9305,40.0624,25.7978,1.04423,0,58,0,195
263,20.1021,39.9765,25.7275,0.984135,0,59,0,196
264,24.9355,39.9652,25.6999,1.00242,0,60,0,197
265,29.8599,39.9496,25.7578,1.09728,0,61,0,198
266,35.0161,39.9,25.7197,0.955976,0,62,0,199
267,39.9067,40.0743,25.7826,1.01476,0,63,0,200
268,4.88627,5.01388,26.0394,1.08826,0,0,0,201
269,10.0187,5.0198,25.9383,0.974241,0,1,0,202
270,15.0297,5.08164,26.0238,1.01575,0,2,0,203
271,19.9919,5.14451,26.0144,1.02822,0,3,0,204
272,25.0027,5.20089,26.0453,1.04659,0,4,0,205
273,29.9327,5.04725,26.0193,0.968262,0,5,0,206
274,35.0201,5.06165,26.0147,0.970838,0,6,0,207
275,40.0478,4.83893,25.946,0.935555,0,7,0,208
276,4.83697,10.0777,25.9647,0.932111,0,8,0,209
277,9.94685,9.9886,26.0442,0.963985,0,9,0,210
278,15.1574,9.92631,25.9979,0.953893,0,10,0,211
279,20.0601,9.97098,26.0312,1.04499,0,11,0,212
280,24.9449,10.1054,26.0383,0.966683,0,12,0,213
281,30.023,9.91861,25.9931,0.961991,0,13,0,214
282,35.0536,10.0052,26.0121,1.02446,0,14,0,215
283,39.9981,9.97962,26.0431,0.935499,0,15,0,216
284,4.99071,15.0042,26.0206,0.993369,0,16,0,217
285,9.85543,15.0912,25.9993,1.0408,0,17,0,218
286,15.0353,15.0002,26.0205,0.990737,0,18,0,219
287,19.9538,15.0239,26.0151,0.989247,0,19,0,220
288,25.0213,14.9019,26.0234,1.02269,0,20,0,221
289,30.0258,14.8039,26.0094,1.02262,0,21,0,222
290,34.9799,15.0491,26.0785,1.01944,0,22,0,223
291,39.8653,14.962,26.0229,1.02419,0,23,0,224
292,4.83501,20.0403,25.9824,0.967992,0,24,0,225
293,9.87444,20.0642,26.0076,1.01643,0,25,0,226
294,14.8693,19.9974,26.036,1.06915,0,26,0,227
295,20.0662,19.852,25.994,1.06374,0,27,0,228
296,25.0803,20.0124,26.0443,1.03355,0,28,0,229
297,30.0236,20.1648,26.0303,0.995298,0,29,0,230
298,34.9559,20.0469,26.0048,1.01092,0,30,0,231
299,39.788,19.9975,25.9856,0.91833,0,31,0,232
300,4.95081,45.2094,25.9858,1.00085,0,64,0,233
301,9.88319,45.0721,26.0294,1.07557,0,65,0,234
302,14.9407,45.0952,26.0332,0.937589,0,66,0,235
303,4.96771,24.9685,26.0208,1.05062,0,32,0,236
304,10.0444,24.9421,26.0024,1.03998,0,33,0,237
305,14.9231,24.9649,26.034,0.96935,0,34,0,238
306,19.9902,25.0874,26.0279,0.923974,0,35,0,239
