sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
284,24.9687,39.9722,25.351,0.384797,0,60,0,252
285,29.8463,39.9265,25.874,0.83391,0,61,0,253
286,35.0248,39.8706,26.0461,1.09332,0,62,0,254
287,39.8551,40.073,25.8863,0.88434,0,63,0,255
288,4.86426,5.01657,26.2405,1.29889,0,0,0,192
289,10.0156,5.01416,25.6889,0.69072,0,1,0,193
290,15.0231,5.06152,25.7767,0.761885,0,2,0,194
291,19.9949,5.09413,25.6623,0.665662,0,3,0,195
292,25.0017,5.12683,25.6601,0.660574,0,4,0,196
293,29.9071,5.0652,26.4065,1.33607,0,5,0,197
294,35.0089,5.02728,25.449,0.428896,0,6,0,198
295,40.0463,4.84111,25.9376,0.917095,0,7,0,199
296,4.94176,10.0278,25.3454,0.33186,0,8,0,200
297,9.97695,9.99506,25.4528,0.41806,0,9,0,201
298,15.0958,9.95529,25.6092,0.57772,0,10,0,202
299,20.1093,9.94721,26.8721,1.89387,0,11,0,203
300,24.8994,10.1922,26.8941,1.76346,0,12,0,204
301,30.02,9.92633,25.8997,0.855358,0,13,0,205
302,35.0255,10.0025,25.4818,0.485395,0,14,0,206
303,39.9981,9.98029,26.0087,0.904696,0,15,0,207
304,4.98764,15.0056,26.358,1.32173,0,16,0,208
305,9.94734,15.0332,25.364,0.379129,0,17,0,209
306,15.0283,15.0002,25.8194,0.795488,0,18,0,210
307,19.9691,15.016,25.6784,0.661111,0,19,0,211
308,25.0334,14.838,26.6886,1.65907,0,20,0,212
309,30.0334,14.7464,26.3051,1.32224,0,21,0,213
310,34.9799,15.0498,26.0952,1.03278,0,22,0,214
311,39.9599,14.9887,25.3055,0.303422,0,23,0,215
312,4.85063,20.0365,25.8894,0.876363,0,24,0,216
313,9.92896,20.0361,25.5711,0.570615,0,25,0,217
314,14.8665,19.9973,26.0587,1.09255,0,26,0,218
315,20.1597,19.6398,27.4266,2.57485,0,27,0,219
316,25.0613,20.0095,25.7967,0.788492,0,28,0,220
317,30.004,20.0282,25.176,0.17006,0,29,0,221
318,34.944,20.0598,26.2774,1.28098,0,30,0,222
319,39.8721,19.9985,25.5945,0.553902,0,31,0,223
320,4.82566,5.01057,26.5629,1.2387,0,0,0,288
321,10.0101,5.00568,25.8613,0.648785,0,1,0,289
322,15.0194,5.05945,25.9679,0.765059,0,2,0,290
323,20.0044,5.11254,25.8275,0.623553,0,3,0,291
324,25.0011,5.18535,25.8148,0.661689,0,4,0,292
325,29.8542,5.10134,26.735,1.33883,0,5,0,293
326,35.0099,5.02821,25.5562,0.416167,0,6,0,294
327,40.069,4.81206,26.1874,1.00973,0,7,0,295
328,4.91684,10.0321,25.4244,0.329136,0,8,0,296
329,9.9799,9.99136,25.5642,0.445764,0,9,0,297
330,15.102,9.94274,25.7678,0.636914,0,10,0,298
331,20.1081,9.87403,27.3399,1.85685,0,11,0,299
332,24.8595,10.2662,27.3642,1.91019,0,12,0,300
333,30.0341,9.86501,26.1237,0.930524,0,13,0,301
334,35.0296,10.0058,25.6031,0.448615,0,14,0,302
335,40.0082,9.9872,26.2543,0.983381,0,15,0,303
336,4.92077,15.029,26.6808,1.28955,0,16,0,304
337,9.94153,15.0485,25.4599,0.389137,0,17,0,305
338,15.0416,15.0272,26.0186,0.806074,0,18,0,306
339,19.9473,14.9868,25.8521,0.710106,0,19,0,307
340,25.0595,14.8263,27.1024,1.54905,0,20,0,308
341,30.0387,14.6734,26.6312,1.3368,0,21,0,309
342,34.9445,15.0949,26.3491,1.04129,0,22,0,310
343,39.9502,14.9728,25.379,0.271808,0,23,0,311
344,4.7767,20.0501,26.0952,0.875044,0,24,0,312
345,9.92271,20.0321,25.7219,0.603752,0,25,0,313
346,14.8498,20.0098,26.331,1.04835,0,26,0,314
347,20.2559,19.5787,28.0602,2.31056,0,27,0,315
348,25.0768,20.0161,25.9931,0.749814,0,28,0,316
349,30.0024,20.0343,25.2181,0.168226,0,29,0,317
350,34.8947,20.0636,26.5943,1.28308,0,30,0,318
351,39.828,19.9945,25.7348,0.588527,0,31,0,319
352,4.90762,24.9126,26.5968,1.25869,0,32,0,256
353,10.0748,24.9393,26.7528,1.36711,0,33,0,257
354,14.9274,24.9783,25.8514,0.702731,0,34,0,258
355,20.0011,25.0852,26.0054,0.753036,0,35,0,259
356,25.035,24.9003,25.6625,0.495708,0,36,0,260
357,30.2936,25.0688,26.7224,1.33523,0,37,0,261
358,34.9505,24.9371,25.4368,0.379718,0,38,0,262
359,40.0275,25.092,26.113,0.870654,0,39,0,263
360,5.10234,29.8563,26.2266,0.997447,0,40,0,264
361,9.9414,29.9488,25.9056,0.718406,0,41,0,265
362,15.1008,29.8185,26.0229,0.813829,0,42,0,266
363,19.8591,29.8819,26.9163,1.67205,0,43,0,267
364,24.8392,30.0857,26.313,1.02709,0,44,0,268
365,29.7112,29.8808,27.4561,1.84972,0,45,0,269
366,34.9793,30.0616,25.5511,0.468761,0,46,0,270
367,39.9522,30.1492,26.089,0.871541,0,47,0,271
368,4.75174,34.5366,28.1504,2.50261,0,48,0,272
369,9.85437,34.8775,26.2327,0.906219,0,49,0,273
370,14.9768,35.0478,25.8925,0.699837,0,50,0,274
371,19.6761,35.3803,27.2995,1.72588,0,51,0,275
372,25.1621,35.2231,26.7809,1.42516,0,52,0,276
373,29.8518,35.1184,26.4023,1.17783,0,53,0,277
374,34.8185,34.9485,26.5084,1.17336,0,54,0,278
375,40.1108,34.7093,27.1514,1.71958,0,55,0,279
376,5.07204,39.9431,25.7351,0.576412,0,56,0,280
377,9.9754,39.9714,26.2381,0.985976,0,57,0,281
378,14.9273,40.1104,26.2403,0.973671,0,58,0,282
379,20.0578,39.9709,25.3719,0.292908,0,59,0,283
380,24.9634,39.9624,25.4465,0.361672,0,60,0,284
381,29.8286,39.9075,26.0809,0.770479,0,61,0,285
382,35.014,39.8244,26.3153,1.05691,0,62,0,286
383,39.7914,40.099,26.0964,0.781374,0,63,0,287
384,4.81716,5.00624,26.878,1.26114,0,0,0,320
385,10.0184,4.98354,26.0396,0.719507,0,1,0,321
386,15.0174,5.06576,26.1591,0.751723,0,2,0,322
387,20.0082,5.14521,25.9799,0.60227,0,3,0,323
388,25.0019,5.23468,25.9727,0.639172,0,4,0,324
389,29.7716,5.14052,27.0872,1.45544,0,5,0,325
390,35.0168,5.0259,25.6614,0.421926,0,6,0,326
391,40.0757,4.78878,26.4386,1.00686,0,7,0,327
392,4.89118,10.0428,25.519,0.39436,0,8,0,328
393,9.97849,9.9985,25.6754,0.411543,0,9,0,329
394,15.118,9.91566,25.9239,0.610114,0,10,0,330
395,20.1346,9.76164,27.7895,1.69131,0,11,0,331
396,24.8329,10.2904,27.8404,1.90408,0,12,0,332
397,30.0275,9.8075,26.349,0.902771,0,13,0,333
398,35.0388,10.0145,25.7184,0.46422,0,14,0,334
399,39.9958,9.99076,26.4998,0.967227,0,15,0,335
400,4.87302,15.026,26.9996,1.22684,0,16,0,336
401,9.94142,15.06,25.5565,0.367993,0,17,0,337
402,15.0387,15.041,26.2197,0.734046,0,18,0,338
403,19.9361,14.9485,26.0251,0.668595,0,19,0,339
404,25.0733,14.7909,27.4973,1.58696,0,20,0,340
